"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Hongkong Land Holdings Limited ","SGX","H78","Real Estate",1889,"LATAM",2880,"A","A","Public Company",2236.4,4.89,17025.7,2384.3,1089.7,906.4,892.6,807.5,1479.5,140.2,43862.6,6589.3,34618.2,0.351,0.414,12,984.7,10,926.47,11
"Eastman Chemical Company ","NYSE","EMN","Materials",1920,"US/CA",14000,"BBB","BBB","Public Company",122.8,99,16965,10476,2441,2286,1790,1220,459,5212,15519,5371,5788,9.36,9.97,20,2143.4,19,1647.09,16
"CapitaLand Integrated Commercial Trust ","SGX","C38U","Real Estate",2001,"APAC",646,"A-","A-","Public Investment Firm",6632.1,1.5,16941.3,968,655.6,643.3,640,840.5,270.8,15900.8,16868.6,6095.9,10158.7,0.128,0.081,14,681.5,9,665.59,12
"Berry Global Group, Inc. ","NYSE","BERY","Materials",1967,"US/CA",47000,"BB+","BB+","Public Company",125.1,58.31,16930.6,13850,2367,2099,1264,761,1091,5239,17882,10493,3180,5.71,8.07,17,2238.4,15,1487.57,18
"First Pacific Company Limited ","SEHK","142","Consumer Staples",1981,"APAC",100120,"BBB-","BBB-","Public Company",4255.6,0.405,16880.8,9103.2,2828,1791,1371.5,333.3,2252.1,3976,26566.7,11349.9,10613.1,0.077,0.123,1,2178,1,1750,1
"HeidelbergCement AG ","XTRA","HEI","Materials",1873,"EU",52350,"BBB","BBB","Public Company",192.4,45.21,16836.8,21365.9,12394.6,3346.4,2116.8,1615.2,3542.7,13907.2,38338.3,9355.5,18946.3,8.33,8.06,14,3694.1,15,2405.59,13
"IDEX Corporation ","NYSE","IEX","Industrials",1987,"US/CA",7536,"BBB","BBB","Public Company",75.5,213.46,16814.9,2764.8,1334.7,843.4,729.7,512.7,855.4,434.5,4917.2,1301.3,2803.1,6.74,8.17,16,889.5,10,768.84,15
"Antofagasta plc ","LSE","ANTO","Materials",1888,"EU",6883,"BBB","BBB","Public Company",985.9,13.79,16766.8,7470.1,3213.7,3266.9,2263.3,885.2,743.4,10538.5,17278.4,3172.6,11029,0.898,0.746,12,3151.4,13,1961.83,14
"PENN Entertainment, Inc. ","NasdaqGS","PENN","Consumer Discretionary",1972,"US/CA",21973,"B+","B+","Public Company",156.9,34.2,16659.5,5905,2969.1,1566.7,1116.9,208.9,1863.9,9435.2,16872.1,11605.1,4097.1,1.27,1.83,14,1960.7,14,1145.06,11
"Canadian Utilities Limited ","TSX","CU","Utilities",1927,"US/CA",4796,"BBB+","BBB+","Public Company",269.1,31.95,16635.4,2777.6,2035.6,1338.5,913,485.2,595,14270.4,16653.6,7561.5,5390.8,1.61,1.77,7,1328.5,6,560.75,1
"Cosan S.A. ","BOVESPA","CSAN3","Energy",1936,"LATAM",29142,"BB-","BB-","Public Company",1868.6,4.06,16588.2,4470.3,1462.3,1308.1,862,941.8,2902.9,4414.4,17560.5,8781.3,5181.5,0.504,0.182,1,3096.5,3,1891.21,9
"WPP plc ","LSE","WPP","Communication Services",1985,"EU",115000,"BBB","BBB","Public Company",1086.3,8.99,16553.3,17333.5,2812.3,1841.2,1555.3,781.2,3759.7,3102.8,37738.7,9242.5,5509.7,0.682,1.15,18,2649,7,2089.09,11
"Hopson Development Holdings Limited ","SEHK","754","Real Estate",1992,"APAC",11775,"B","B","Public Company",2611.9,1.3,16540.2,3941.4,1685.7,770.1,740.9,1251.5,3853,781.9,44401.9,15731.4,14495.1,0.476,0.225,1,1328.3,1,1297.84,1
"Associated British Foods plc ","LSE","ABF","Consumer Staples",1935,"EU",128000,"A","A","Public Company",790.3,18.3,16528.7,19095.8,4569.7,2344.3,1588.4,1046.6,3129,10913.7,23237.1,5071,13759.3,1.33,1.55,20,2756.9,11,1718.96,17
"Klépierre ","ENXTPA","LI","Real Estate",1968,"EU",1036,"BBB+","BBB+","Public Investment Firm",285.4,20.93,16512.2,1602.6,1260.8,1028.1,1083.8,761.2,727.9,21409.1,24773,10338.5,12047.5,2.67,2.43,7,885.6,11,875.39,6
"Aristocrat Leisure Limited ","ASX","ALL","Consumer Discretionary",1984,"APAC",7000,"BB+","BB+","Public Company",664.7,25.04,16483.2,3430.8,2140.7,1186.5,1005.6,740.1,1761.3,351,6281.3,2577.4,2809.6,1.14,1.22,15,1337.5,15,1138.38,9
"NetApp, Inc. ","NasdaqGS","NTAP","Information Technology",1992,"US/CA",12000,"BBB+","BBB+","Public Company",219.7,78.56,16460.4,6318,4267,1378,1205,949,4112,896,10026,2940,838,4.27,5.61,23,1808,11,1605.87,21
"Ajinomoto Co., Inc. ","TSE","2802","Consumer Staples",1909,"APAC",34198,"A+","A+","Public Company",536.4,27.73,16456.3,9465,3198.7,1416.9,921.9,599,1247.2,4301.2,11998.8,2997.2,6091.7,1.11,1.13,14,1452.1,13,949.86,6
"Metro Inc. ","TSX","MRU","Consumer Staples",1947,"US/CA",90000,"BBB","BBB","Public Company",238.9,54.79,16338.6,14402.1,1716.6,1349.7,1103.7,675.1,351.2,3304.1,10706.9,3595.2,5051.6,2.8,3.12,10,1464.5,9,1099.88,6
"Textron Inc. ","NYSE","TXT","Industrials",1923,"US/CA",33000,"BBB","BBB","Public Company",211.5,66.96,16332.2,12382,2079,1481,1088,802,1922,2912,15827,4148,6815,3.67,4.2,10,1638,8,1234.98,7
"Magellan Midstream Partners, L.P. ","NYSE","MMP","Energy",2000,"US/CA",1715,"BBB+","BBB+","Public Company",207.7,52.99,16166.6,2733.1,1351.1,1123.9,886.4,999.7,2,6078.9,8030,5261.9,1899.8,4.67,4.61,5,1442,13,1218.44,6
"Franklin Resources, Inc. ","NYSE","BEN","Financials",1947,"US/CA",9800,"A","A","Public Investment Firm",498.4,27.37,16006.3,8425.5,3660.1,2472.5,2137.6,1724.9,4357.8,1218.4,24168.4,3917.8,12743.6,3.38,2.97,10,2431.1,2,2158.71,3
"Canadian Tire Corporation, Limited ","TSX","CTC.A","Consumer Discretionary",1922,"US/CA",23664,"BBB","BBB","Public Company",59,127.53,15997.8,12874.1,4351.4,1721.9,1499.8,835.8,1384.2,5006.3,17228.3,8341.6,5144.9,13.9,14.4,9,2012.9,8,1451.26,5
"SK Telecom Co.,Ltd ","KOSE","A017670","Communication Services",1984,"APAC",5124,"A-","A-","Public Company",218,38.42,15990.6,14060.7,9556.4,3861.2,1164.1,1195.2,732.7,10813.7,25950.6,8704.3,10355.6,5.35,4.01,20,4102,1,1294,1
"Sumitomo Electric Industries, Ltd. ","TSE","5802","Consumer Discretionary",1897,"APAC",281075,"A","A","Public Company",779.9,11.82,15894.7,27734.1,4202.8,2182.8,825.9,687.2,2137.6,8455.5,31353.6,6957.9,16905.8,0.881,1.16,7,2706.1,8,1271.99,7
"Kia Corporation ","KOSE","A000270","Consumer Discretionary",1944,"APAC",33947,"BBB+","BBB+","Public Company",400.9,59.1,15859.4,58650.7,11351.1,6669,4895.7,4087.9,9682.8,13082.9,56121.8,8073.1,29309.7,10.2,11.7,24,7308,25,5691,26
"TDK Corporation ","TSE","6762","Information Technology",1935,"APAC",116808,"A-","A-","Public Company",379,36.65,15733.6,15663.9,4396.7,2663.4,1283.5,1001.1,3617.9,8195.5,25047.8,5598.2,10736.3,2.64,2.69,14,2974.7,12,1475.65,2
"Electric Power Development Co., Ltd. ","TSE","9513","Utilities",1952,"APAC",7146,"A","A","Public Company",183,15.87,15698.4,8931.8,625.1,1339.9,625.1,505.6,1837,18059.2,25249.7,14711.2,7939.3,2.76,2.51,5,1561.1,4,733.86,5
"Darling Ingredients Inc. ","NYSE","DAR","Consumer Staples",1882,"US/CA",9900,"BB+","BB+","Public Company",160.4,78.97,15683.9,4741.4,1411.9,1007.5,676.5,692.6,68.9,1995.5,6133.7,1621.9,3347.8,4.28,6.04,6,1838.1,8,1344.18,4
"Citrix Systems, Inc. ","NasdaqGS","CTXS","Information Technology",1989,"US/CA",9000,"BBB","BBB","Public Company",126.9,102.7,15625.2,3217.2,2791.1,697.7,480.3,330.4,514,373.7,6975.5,3549.3,547.3,2.64,5.38,2,1234.1,1,911.15,1
"Chesapeake Energy Corporation ","NasdaqGS","CHK","Energy",1989,"US/CA",1300,"BB-","BB-","Public Company",120.8,103.8,15618.1,7301,6078,2883,1452,1562,905,8837,11009,2316,5671,13.7,17.8,11,5172.8,12,3301.85,6
"Norsk Hydro ASA ","OB","NHY","Materials",1905,"EU",31000,"BBB","BBB","Public Company",2053,7.19,15597.4,16986.8,8083.2,6100.6,5251,2545.7,2601.9,6198.1,19808.4,3225.5,10031.8,1.24,0.848,12,3299,12,2567.1,12
"Coca-Cola FEMSA, S.A.B. de C.V. ","NYSE","KOF","Consumer Staples",1979,"LATAM",80000,"A-","A-","Public Company",210.1,63.35,15569.8,9502.4,4665.1,1810.3,1384.6,831.8,2304.7,3105,13246.8,4416,6222.9,3.96,4.07,6,2060.8,15,1505.55,10
"Publicis Groupe S.A. ","ENXTPA","PUB","Communication Services",1926,"EU",95801,"BBB","BBB","Public Company",251.1,49.11,15479.8,13349.3,5758.9,2242.3,1929.8,1202.2,4161.3,2392.8,37354.7,6638.2,9729.3,4.8,5.98,18,2675.9,16,2133.25,14
"Zhongsheng Group Holdings Limited ","SEHK","881","Consumer Discretionary",1998,"APAC",39668,"BBB-","BBB-","Public Company",2413.6,5.24,15450.4,27564,2907.4,2226.3,1952.5,1311.1,1760.5,3501.6,13455,4522.6,6407.8,0.56,0.578,18,2365.1,17,2063.01,17
"The Tata Power Company Limited ","BSE","500400","Utilities",1915,"APAC",21636,"BB","BB","Public Company",3195.3,2.94,15444,5641.8,1711.1,868.7,483.4,271.5,405.5,7748.1,14874.8,6822.8,3513.4,0.085,0.162,16,1083,14,700.32,12
"Sodexo S.A. ","ENXTPA","SW","Consumer Discretionary",1966,"EU",412000,"BBB+","BBB+","Public Company",146.2,78.87,15443.2,20571.3,3045.5,1248.2,903.4,497.5,4177.3,1610,22416.2,8302.6,3747.6,3.4,5.05,18,1740.8,17,1165.15,16
"Penske Automotive Group, Inc. ","NYSE","PAG","Consumer Discretionary",1990,"US/CA",26000,"BB+","BB+","Public Company",74.2,123.72,15431.8,25554.7,4813.6,1649.3,1523.7,1408.3,100.7,4893.6,13464.6,6502.1,4095,18.1,17,8,1977.8,5,1394,6
"Akzo Nobel N.V. ","ENXTAM","AKZA","Materials",1646,"EU",36100,"BBB+","BBB+","Public Company",174.5,65,15423.5,10903,3999.6,1146.8,871.8,638.7,1310.1,2392.8,15783,4037.3,6409.6,3.56,4.79,13,1559.3,17,1246.72,16
"Masco Corporation ","NYSE","MAS","Industrials",1929,"US/CA",20000,"BBB","BBB","Public Company",225.5,53.29,15417.9,8375,2845,1544,1400,863,926,1083,5575,3169,78,3.6,4.28,24,1665.8,19,1509.94,18
"RPM International Inc. ","NYSE","RPM","Materials",1947,"US/CA",16751,"BBB","BBB","Public Company",129,97.83,15405.3,6707.7,2433.1,808.4,655.4,491.5,201.7,1411.8,6707.7,3010,1983.8,3.81,4.39,12,1010,10,849.49,11
"Tokyo Gas Co.,Ltd. ","TSE","9531","Utilities",1885,"APAC",16697,"AA-","AA-","Public Company",436.5,18.96,15322.5,17665.5,4292.5,2575.8,1058.1,819.6,1480.4,12923.7,26491.3,9918.3,10347.7,1.87,1.65,6,2529.1,3,1079.29,6
"Packaging Corporation of America ","NYSE","PKG","Materials",1867,"US/CA",15200,"BBB","BBB","Public Company",93.1,143.56,15316.1,7730.3,2149.5,1984.1,1556,1023,618.7,3767.3,7836.8,2732.3,3607.2,10.9,11.1,9,1923.9,8,1475.26,8
"PTC Inc. ","NasdaqGS","PTC","Information Technology",1985,"US/CA",6455,"BB+","BB+","Public Company",117.5,119.32,15313.7,1807.2,1515.9,490.8,432.5,499.2,326.5,252.6,4507.6,1648.3,2038.5,4.26,4.98,13,708.3,2,766.95,11
"Horizon Therapeutics Public Limited Company ","NasdaqGS","HZNP","Health Care",2005,"EU",2015,"BB","BB","Public Company",230.4,62.81,15258.6,3226.4,2902.3,986,964.4,765,1580.3,368,8677.7,2668.6,4672.4,3.35,4.71,14,1461.5,6,1353.58,11
"Hasbro, Inc. ","NasdaqGS","HAS","Consumer Discretionary",1923,"US/CA",6640,"BBB","BBB","Public Company",138.1,83.36,15101.6,6420.4,3208.7,1157.4,891.5,538.6,983.4,421.1,10037.8,4201.4,3087,3.88,5.25,15,1323.3,12,1073.35,10
"QBE Insurance Group Limited ","ASX","QBE","Financials",1886,"APAC",11404,"A-","A-","Public Company",1483.3,8.59,15036.2,13530,804,804,753,460,620,483,49303,3622,8882,0.277,0.735,10,1868.8,3,1674.21,6
"Red Eléctrica Corporación, S.A. ","BME","RED","Utilities",1985,"EU",2157,"A-","A-","Public Company",539.3,19.56,15028.3,2284.4,2115.3,1511.5,980.2,716.6,1790.5,10890.3,15904.1,8323.7,4191,1.33,1.21,12,1531.5,10,990.66,15
"Brambles Limited ","ASX","BXB","Industrials",1875,"APAC",12000,"BBB+","BBB+","Public Company",1386.3,8.8,14948.7,5833.7,1960.5,1700.7,1149.9,593.3,158.2,6143.5,7931.7,2875.5,2451.1,0.419,0.444,13,1966,10,1003.98,16
"Cleveland-Cliffs Inc. ","NYSE","CLF","Materials",1847,"US/CA",27000,"B+","B+","Public Company",517.3,19.39,14916.4,20444,5279,6020,4997,3564,48,9186,18975,5799,5774,6.77,3.01,5,2998.4,8,2049.85,6
"CEMEX, S.A.B. de C.V. ","BMV","CEMEX CPO","Materials",1906,"LATAM",47324,"BB","BB","Public Company",14487.8,0.42,14880.6,14548,4647.2,1862.1,1017,281.9,613,11322,26650,9187,10271,0.019,0.055,2,2801.8,17,1547.72,16
"Regency Centers Corporation ","NasdaqGS","REG","Real Estate",1963,"US/CA",432,"BBB+","BBB+","Public Investment Firm",171.1,63.82,14831.9,1203.9,941.4,839.2,552.4,485.3,93.1,9606.8,10792.6,3937.6,6109.9,2.84,1.92,9,813.4,10,456.5,4
"Nexstar Media Group, Inc. ","NasdaqGS","NXST","Communication Services",1996,"US/CA",11817,"BB","BB","Public Company",38.8,194.91,14799,4648.4,2943.5,1823.9,1349.9,912.7,190.9,1800.8,13264.5,7695.9,2857.4,22.3,24.7,9,2224.3,5,1459.95,7
"HF Sinclair Corporation ","NYSE","DINO","Energy",2021,"US/CA",4208,"BBB-","BBB-","Public Company",216.8,55.19,14798.2,18389.1,3149.5,2639.6,2212.4,1622.5,234.4,5811,12916.6,3596.6,6294.5,8.87,10.1,14,3265.9,12,3125.27,5
"Life Storage, Inc. ","NYSE","LSI","Real Estate",1982,"US/CA",2241,"BBB","BBB","Public Investment Firm",84.3,136.4,14772.9,794.3,650.3,582.5,410.2,310.3,171.9,6102.3,6556.6,2804.1,3612.7,3.77,4.4,4,638.3,6,446.42,2
"Cboe Global Markets, Inc. ","BATS","CBOE","Financials",1973,"US/CA",1196,"A-","A-","Public Company",106.1,123.29,14753.1,3494.8,1602.2,1056.3,897.7,211.4,341.9,217.6,6814.5,1444.1,3604.8,1.97,6.41,13,1050.6,7,1008.54,10
"Ryanair Holdings plc ","ISE","RYA","Industrials",1985,"EU",19000,"BBB","BBB","Public Company",1135.2,12.56,14676.5,5333.1,1598.5,1005.1,213.8,229.2,2964.9,10251.9,16829.4,5640.3,6160.1,0.203,1.11,14,2493,17,1591.79,18
"Bunzl plc ","LSE","BNZL","Industrials",1854,"EU",21021,"BBB+","BBB+","Public Company",335.7,37.06,14612.1,13926.6,3415.8,1055.1,873,599.6,1052,770.7,9632.9,3539.2,2984.2,1.8,2.02,20,1187.7,17,942.6,15
"TD SYNNEX Corporation ","NYSE","SNX","Information Technology",1980,"US/CA",22000,"BBB-","BBB-","Public Company",95.8,103.48,14608.1,31614.2,3180.2,1416.1,1040.8,495.4,994,930.6,27666.4,4661.9,7906,5.83,12,9,1877.9,8,1681.19,8
"Advance Auto Parts, Inc. ","NYSE","AAP","Consumer Discretionary",1929,"US/CA",54500,"BBB-","BBB-","Public Company",59.6,180.99,14590.8,10998,4949.5,1059.6,786.3,535.7,601.4,4200.1,12194.2,3837.1,3128.3,8.66,13.9,20,1471.2,7,1143.68,21
"Yara International ASA ","OB","YAR","Materials",1905,"EU",17800,"BBB","BBB","Public Company",254.7,43.35,14574.9,16616,6004,4028,3222,1506,394,7554,17272,4327,7117,5.91,7.81,15,3757.1,14,2844.31,12
"Lamar Advertising Company ","NasdaqGS","LAMR","Real Estate",1902,"US/CA",3350,"BB","BB","Public Investment Firm",101.5,100.29,14542.4,1790.8,1315.9,858.9,572.6,456.5,99.8,2578.8,6047.5,4225.8,1217.1,4.5,5.19,3,936.8,3,656.93,3
"Invesco Ltd. ","NYSE","IVZ","Financials",1935,"US/CA",8506,"BBB+","BBB+","Public Investment Firm",454.9,17.97,14467.5,6894.5,2289.1,1868.5,1668.3,1312.4,1896.4,774.7,32685.6,2297.4,16678.8,2.34,1.98,13,1846.5,6,1607.38,8
"Vår Energi AS ","OB","VAR","Energy",1965,"EU",900,"BBB","BBB","Public Company",2496.4,4.69,14464.7,6043.4,7452.8,7169.7,5458.1,825.6,223.6,15487.3,19877.9,5151.7,1472.4,0.33,0.662,9,13562.4,8,11792.72,8
"Lithia Motors, Inc. ","NYSE","LAD","Consumer Discretionary",1946,"US/CA",21150,"BB+","BB+","Public Company",27.5,285.05,14442.2,22831.7,5061.9,2193.4,2043,1272.5,174.8,3448.5,11146.9,5012.8,4663.2,43,46.3,12,2015.5,9,1932.8,10
"Formosa Chemicals & Fibre Corporation ","TWSE","1326","Materials",1965,"APAC",4920,"BBB+","BBB+","Public Company",5849,2.31,14415.2,13200,1170,1100.3,498.8,855.3,832.2,4780.3,21590.8,3752.1,16020.7,0.146,0.156,3,1069.3,8,559.38,3
"CubeSmart ","NYSE","CUBE","Real Estate",2004,"US/CA",2892,"BBB","BBB","Public Investment Firm",224.5,49.42,14336.2,824.9,674,599.4,313.7,229.5,11.1,6152.4,6548.1,3265.6,2998.4,1.06,1.14,4,651.7,5,314.27,3
"Anhui Conch Cement Company Limited ","SEHK","914","Materials",1997,"APAC",46714,"A","A","Public Company",5299.3,3.93,14241.3,26438.4,6535.3,5841.3,4904.4,4200.4,10945.8,11636.3,36286.7,1863.6,30196.5,0.793,0.706,5,5159.7,1,4503.29,4
"The Interpublic Group of Companies, Inc. ","NYSE","IPG","Communication Services",1902,"US/CA",57600,"BBB","BBB","Public Company",391,29.32,14219.3,9107.9,2100.6,1704.2,1424.8,986.8,3270,2220.2,19909.2,4798.6,3604.8,2.51,2.54,9,1800,7,1570.19,4
"Lamb Weston Holdings, Inc. ","NYSE","LW","Consumer Staples",1950,"US/CA",8000,"BB+","BB+","Public Company",143.7,82.58,14198.7,4098.9,832,639.8,447.7,200.9,525,1698.2,4139.8,2855.1,360.5,1.38,2.79,8,890.6,3,613.85,6
"Service Corporation International ","NYSE","SCI","Consumer Discretionary",1962,"US/CA",20840,"BB+","BB+","Public Company",157.7,65.54,14145.7,4143.1,1291.4,1419.8,1141.4,768.5,268.6,2305.8,15691.2,4061.6,1909.4,4.72,3.01,4,1122.6,3,807.57,4
"Charles River Laboratories International, Inc. ","NYSE","CRL","Health Care",1947,"US/CA",19300,"BB+","BB+","Public Company",50.9,213.85,14135.5,3540.2,1380.7,985.1,697.5,443.3,241.2,1584,7024.3,2952.6,2592,8.76,11.1,15,1030.1,12,850.11,11
"Localiza Rent a Car S.A. ","BOVESPA","RENT3","Industrials",1973,"LATAM",12610,"BB+","BB+","Public Company",975,12.44,14106.7,1956.6,795.7,714.9,704.8,399.2,79.7,260.4,4543,2399.5,1367.1,0.531,0.688,2,1795.3,2,1532.19,2
"Builders FirstSource, Inc. ","NYSE","BLDR","Industrials",1998,"US/CA",28000,"BB","BB","Public Company",156.1,65.27,14074.6,19893.9,7442.8,4192.2,3680.2,2682.5,42.6,1843.3,10714.3,3401.8,4802.5,14.5,10.1,13,2530.2,14,2255.1,11
"ATCO Ltd. ","TSX","ACO.X","Utilities",1947,"US/CA",6358,"BBB+","BBB+","Public Company",114.2,37.16,14068.3,3389.2,2317.5,1444.8,973.6,286.5,862.1,14917.5,18177.9,8025.3,6281.4,2.51,2.65,6,1631.6,5,1068.82,1
"Türk Hava Yollari Anonim Ortakligi ","IBSE","THYAO","Industrials",1933,"AFME",37546,"B","B","Public Company",1380,3.87,14021.6,7375.4,2420.1,1836.9,1418.2,1176.6,2702.3,19660.4,26790,15097,6865.9,0.853,0.752,6,3522.6,10,1452.05,9
"WH Group Limited ","SEHK","288","Consumer Staples",1958,"APAC",105000,"BBB","BBB","Public Company",14142.5,0.692,14012.1,27293,4967,2637,2046,1175,1556,7246,19411,4501,9687,0.089,0.11,11,2939.1,15,2340.21,16
"Newell Brands Inc. ","NasdaqGS","NWL","Consumer Discretionary",1903,"US/CA",32000,"BBB-","BBB-","Public Company",413.6,20.32,13959.4,10589,3271,1390,1084,724,440,1762,14179,5549,4091,1.72,1.9,11,1450.1,4,1125.92,9
"AGC Inc. ","TSE","5201","Industrials",1907,"APAC",55999,"A-","A-","Public Company",221.7,35.59,13911.4,14742.2,4027.8,2948.7,1643.7,965.5,1700.8,11498.1,23155.1,5889,12866.1,4.36,4.22,9,2994,6,1647.74,8
"AltaGas Ltd. ","TSX","ALA","Utilities",1994,"US/CA",2926,"BBB-","BBB-","Public Company",281.1,23.33,13871.1,8354.9,2275.5,1137.4,781.8,249.2,49.8,9193.3,17063,6881.1,6006.4,0.726,1.53,14,1204.2,15,898.69,3
"NVR, Inc. ","NYSE","NVR","Consumer Discretionary",1980,"US/CA",6600,"BBB+","BBB+","Public Company",3.28,4364.99,13862.8,8966.3,2553.1,2069.6,2051.2,1526.1,2545.1,116,5834.5,1606.2,3002.4,445.6,408.3,6,1856.4,4,1755.11,3
"Gecina ","ENXTPA","GFC","Real Estate",1959,"EU",500,"A-","A-","Public Investment Firm",73.8,90.94,13835.1,841.4,573.2,492.8,481.5,1075.6,17.2,22310.7,23244.7,7924.8,14765.4,14.6,5.58,11,514.4,9,502.61,7
"Weichai Power Co., Ltd. ","SEHK","2338","Industrials",2002,"APAC",42953,"BBB+","BBB+","Public Company",8648.3,1.37,13824.6,32041.6,5349,2604.2,1342.1,1097.3,11813,7080.6,43611.2,6871,16207.8,0.128,0.142,7,3207.6,15,1922.61,14
"Burlington Stores, Inc. ","NYSE","BURL","Consumer Discretionary",1972,"US/CA",38599,"BB+","BB+","Public Company",65.7,147.01,13790.3,9309.7,3555.7,704,457.8,163.4,1091.1,4190.7,7089.5,4464.6,760.4,2.49,4.89,19,801.2,13,486.67,15
"HK Electric Investments and HK Electric Investments Limited ","SEHK","2638","Utilities",1889,"APAC",1682,"A-","A-","Public Company",8836.2,0.841,13746.6,1454.8,707,1016.9,595.6,375.5,4.36,9841.3,14725.8,5979.6,6206,0.043,0.043,6,1016.5,5,595.22,6
"ASM International NV ","ENXTAM","ASM","Information Technology",1968,"EU",3805,"BB+","BB+","Public Company",48.7,292.46,13702.5,1967.4,991.3,626.8,547.2,592.4,559,322.9,3083.2,26.7,2549.5,12.2,11.8,11,734.6,13,639.71,12
"Rentokil Initial plc ","LSE","RTO","Industrials",1903,"EU",46000,"BBB","BBB","Public Company",1854.4,6.45,13650.8,4003.4,2903.6,723.4,475.2,325.9,905.1,847.1,5853.7,2673.2,1711.4,0.175,0.243,10,916.9,10,616.09,8
"Aisin Corporation ","TSE","7259","Consumer Discretionary",1949,"APAC",117177,"A","A","Public Company",269.5,30.43,13581.7,32259.8,3019.2,2874.6,925.7,865.1,3186.1,12586.7,34634.5,7776.3,16441.1,3.21,4.48,15,3779.9,8,1806.2,15
"News Corporation ","NasdaqGS","NWSA","Communication Services",2012,"US/CA",25500,"BB+","BB+","Public Company",581.7,17.73,13581.2,10385,5309,1418,993,623,1822,2422,17221,4155,9143,1.06,0.93,5,1758.8,9,1034.88,7
"Whirlpool Corporation ","NYSE","WHR","Consumer Discretionary",1911,"US/CA",69000,"BBB","BBB","Public Company",54.5,168.25,13555,21985,3919,2478,2017,711,3044,3751,20285,6207,5013,12,23,10,2354.2,7,1842.34,7
"China Hongqiao Group Limited ","SEHK","1378","Materials",1994,"APAC",42650,"BB-","BB-","Public Company",9334.1,1.07,13519.8,18022.7,4415.8,4362.9,3389.2,2355,7749.2,10886.9,29660.4,9509.8,14551.3,0.257,0.316,11,4553.6,5,3650.78,7
"Northland Power Inc. ","TSX","NPI","Utilities",1987,"US/CA",1150,"BBB","BBB","Public Company",236.1,35.11,13460.6,1654.1,1358.2,1235.2,741.3,440.3,532.4,7575.3,10175.8,6486.2,2343.5,1.89,1.25,7,1057,14,681.67,4
"Barry Callebaut AG ","SWX","BARN","Consumer Staples",1994,"EU",13289,"BBB-","BBB-","Public Company",5.48,2150.89,13444.7,7865.2,1289.8,831.4,665.6,439.1,1195.8,2034.8,7905,2607.7,2930.2,80.1,83,9,919.5,8,670.95,10
"Black Knight, Inc. ","NYSE","BKI","Information Technology",2017,"US/CA",6400,"BB","BB","Public Company",154.5,67.69,13269.1,1475.2,711,534.8,340.2,519,77.1,187.4,6350.9,2446.2,3279.2,3.36,2.71,9,824.3,10,651.1,2
"Reliance Steel & Aluminum Co. ","NYSE","RS","Materials",1939,"US/CA",13700,"BBB","BBB","Public Company",60.3,196.01,13191,14093.3,5358.7,2871.9,2638.7,1913.1,300.5,2061.4,9536,1868.1,6093.7,30.7,22.3,6,2064.6,9,1577.37,7
"Federal Realty Investment Trust ","NYSE","FRT","Real Estate",1962,"US/CA",313,"BBB+","BBB+","Public Investment Firm",80.9,107.32,13126.5,952.5,700.3,631.7,345.6,280.7,162.1,7031.5,7622.3,4193.8,2876.9,3.47,2.66,7,671.2,13,368.17,6
"Getty Images Holdings, Inc. ","NYSE","GETY","Communication Services",1995,"US/CA",1600,"B-","B-","Public Company",376.8,28.49,13070.9,918.7,685.8,308.9,209.9,62.8,186.3,170.9,2578,1771.2,386.7,0.41,0.324,3,328.1,3,218.78,3
"Brenntag SE ","XTRA","BNR","Industrials",1874,"EU",17221,"BBB","BBB","Public Company",154.5,67.63,13069.4,16356.8,4138.1,1446.3,1228.2,787.7,801.8,1777.6,11595,3156.3,4543.7,5.1,6.73,12,1745.7,14,1400.45,13
"Axiata Group Berhad ","KLSE","AXIATA","Communication Services",1992,"APAC",12976,"BBB+","BBB+","Public Company",9176.8,0.677,13040.9,6216.4,4540.1,2270.1,963.3,71.8,1566.3,8630.4,17412.8,7040.2,6016,0.008,0.033,14,2677,16,914.24,15
"Braskem S.A. ","BOVESPA","BRKM5","Materials",1972,"LATAM",8312,"BBB-","BBB-","Public Company",796.3,6.48,13039.4,18957.4,4623.8,4184.6,3513.8,1251.1,1558,7180.1,16613.3,9729.3,1113.5,1.57,1.35,3,3024.3,8,2200.57,4
"Fertiglobe plc ","ADX","FERTIGLB","Materials",2018,"AFME",2600,"BBB-","BBB-","Public Company",8301.3,1.53,13032.9,3310.7,2300.6,2399.4,2172.4,1290.2,899.1,3023.8,5168.5,1476.9,2506,0.155,0.138,3,2303.4,5,2037.55,5
"Falabella S.A. ","SNSE","FALABELLA","Consumer Discretionary",1889,"LATAM",94516,"BBB","BBB","Public Company",2508.8,2.31,12994.4,13487.2,5474,1698.6,1346.7,746,625.9,4181.9,25155.7,6813.6,7799.4,0.297,0.214,7,1675.7,9,1141.33,8
